idx,name,played,xg,xgConceded,xPoints,xgDiff,xgConcededDiff,pts
1,Arsenal,38,77.42029988765717,28.415799921378493,81.88956467713078,13.579700112342834,0.5842000786215067,89
2,Manchester City,38,81.93710008263588,35.86319976300001,80.24060869062245,14.06289991736412,-1.8631997630000114,91
3,Liverpool,38,89.36549982428551,46.17440016567707,76.85811988803296,-3.365499824285507,-5.174400165677071,82
4,Newcastle United,38,77.0761004537344,61.973000049591064,64.28294536526157,7.923899546265602,0.026999950408935547,60
5,Chelsea,38,75.26539999246597,58.95609998703003,63.13442446484266,1.734600007534027,4.043900012969971,63
6,Tottenham Hotspur,38,68.95050022006035,64.55490052700043,57.17985780964021,5.0494997799396515,-3.5549005270004272,66
7,Aston Villa,38,64.71809981390834,60.73189952969551,55.573669361025416,11.281900186091661,0.26810047030448914,68
8,Brighton & Hove Albion,38,58.01629972457886,56.437599550932646,54.18015600739052,-3.0162997245788574,5.562400449067354,48
9,AFC Bournemouth,38,56.68980002403259,58.839299738407135,52.70079900185914,-2.6898000240325928,8.160700261592865,48
10,Brentford,38,59.83999985456467,56.70030012726784,52.37271153893237,-3.8399998545646667,8.299699872732162,39
11,Everton,38,54.89700008928776,56.072899758815765,52.01149530954731,-14.897000089287758,-5.072899758815765,40
12,Nottingham Forest,38,50.38799965381622,53.87770012021065,50.47067130107847,-1.3879996538162231,13.122299879789352,32
13,Crystal Palace,38,49.145499885082245,52.783500134944916,49.75846227783309,7.854500114917755,5.216499865055084,49
14,Fulham,38,51.55860025435686,64.25329959392548,46.507736361052785,3.441399745643139,-3.253299593925476,47
15,Manchester United,38,56.930899783968925,70.08210018277168,45.21585687099804,0.06910021603107452,-12.082100182771683,60
16,West Ham United,38,52.918599888682365,72.15280002355576,43.03876492242179,7.081400111317635,1.8471999764442444,52
17,Wolverhampton Wanderers,38,47.58250021934509,68.91810062527657,40.76427470757301,2.4174997806549072,-3.9181006252765656,46
18,Burnley,38,40.88659989833832,71.91710042953491,33.939124985619074,0.11340010166168213,6.082899570465088,24
19,Luton Town,38,43.36190006136894,79.76730012893677,32.76769379095756,8.638099938631058,5.232699871063232,26
20,Sheffield United,38,39.04750010930002,77.52489936351776,29.967069141807347,-4.047500109300017,26.47510063648224,16
